ts_start,ts_end,op,bytes,status,latency_ms,error
1763030984.599665,1763031000.107423,upload,1887436,ok,15507,
1763031000.108014,1763031001.731194,upload,1887436,ok,1623,
1763031001.731533,1763031003.624782,upload,1887436,ok,1893,
1763031003.625099,1763031009.7389839,upload,15099494,ok,6113,
1763031009.739302,1763031014.511808,upload,15099494,ok,4772,
1763031014.512214,1763031028.674219,upload,60397977,ok,14162,
